codice_gestione,codice_voce,macro_categoria_v2
PRO,4.03.04.01.005,Trasferimenti c/capitale
REG,4.03.04.01.005,Trasferimenti c/capitale
SP1,4.03.04.01.005,Trasferimenti c/capitale
SP3,4.03.04.01.005,Trasferimenti c/capitale
SP8,4.03.04.01.005,Trasferimenti c/capitale
VCE,4.03.04.01.005,Trasferimenti c/capitale
VCF,4.03.04.01.005,Trasferimenti c/capitale
AAI,4.03.04.01.006,Trasferimenti c/capitale
ASP,4.03.04.01.006,Trasferimenti c/capitale
EPF,4.03.04.01.006,Trasferimenti c/capitale
FLS,4.03.04.01.006,Trasferimenti c/capitale
MON,4.03.04.01.006,Trasferimenti c/capitale
PRO,4.03.04.01.006,Trasferimenti c/capitale
REG,4.03.04.01.006,Trasferimenti c/capitale
SP1,4.03.04.01.006,Trasferimenti c/capitale
SP3,4.03.04.01.006,Trasferimenti c/capitale
SP8,4.03.04.01.006,Trasferimenti c/capitale
VCE,4.03.04.01.006,Trasferimenti c/capitale
VCF,4.03.04.01.006,Trasferimenti c/capitale
AAI,4.03.04.01.007,Trasferimenti c/capitale
ASP,4.03.04.01.007,Trasferimenti c/capitale
EPF,4.03.04.01.007,Trasferimenti c/capitale
FLS,4.03.04.01.007,Trasferimenti c/capitale
MON,4.03.04.01.007,Trasferimenti c/capitale
PRO,4.03.04.01.007,Trasferimenti c/capitale
REG,4.03.04.01.007,Trasferimenti c/capitale
SP1,4.03.04.01.007,Trasferimenti c/capitale
SP3,4.03.04.01.007,Trasferimenti c/capitale
SP8,4.03.04.01.007,Trasferimenti c/capitale
VCE,4.03.04.01.007,Trasferimenti c/capitale
VCF,4.03.04.01.007,Trasferimenti c/capitale
AAI,4.03.04.01.008,Trasferimenti c/capitale
ASP,4.03.04.01.008,Trasferimenti c/capitale
EPF,4.03.04.01.008,Trasferimenti c/capitale
FLS,4.03.04.01.008,Trasferimenti c/capitale
MON,4.03.04.01.008,Trasferimenti c/capitale
PRO,4.03.04.01.008,Trasferimenti c/capitale
REG,4.03.04.01.008,Trasferimenti c/capitale
SP1,4.03.04.01.008,Trasferimenti c/capitale
SP3,4.03.04.01.008,Trasferimenti c/capitale
SP8,4.03.04.01.008,Trasferimenti c/capitale
VCE,4.03.04.01.008,Trasferimenti c/capitale
VCF,4.03.04.01.008,Trasferimenti c/capitale
AAI,4.03.04.01.009,Trasferimenti c/capitale
ASP,4.03.04.01.009,Trasferimenti c/capitale
EPF,4.03.04.01.009,Trasferimenti c/capitale
FLS,4.03.04.01.009,Trasferimenti c/capitale
MON,4.03.04.01.009,Trasferimenti c/capitale
PRO,4.03.04.01.009,Trasferimenti c/capitale
REG,4.03.04.01.009,Trasferimenti c/capitale
SP1,4.03.04.01.009,Trasferimenti c/capitale
SP3,4.03.04.01.009,Trasferimenti c/capitale
SP8,4.03.04.01.009,Trasferimenti c/capitale
VCE,4.03.04.01.009,Trasferimenti c/capitale
VCF,4.03.04.01.009,Trasferimenti c/capitale
AAI,4.03.04.01.010,Trasferimenti c/capitale
ASP,4.03.04.01.010,Trasferimenti c/capitale
EPF,4.03.04.01.010,Trasferimenti c/capitale
FLS,4.03.04.01.010,Trasferimenti c/capitale
MON,4.03.04.01.010,Trasferimenti c/capitale
PRO,4.03.04.01.010,Trasferimenti c/capitale
REG,4.03.04.01.010,Trasferimenti c/capitale
SP1,4.03.04.01.010,Trasferimenti c/capitale
SP3,4.03.04.01.010,Trasferimenti c/capitale
SP8,4.03.04.01.010,Trasferimenti c/capitale
VCE,4.03.04.01.010,Trasferimenti c/capitale
VCF,4.03.04.01.010,Trasferimenti c/capitale
AAI,4.03.04.01.011,Trasferimenti c/capitale
ASP,4.03.04.01.011,Trasferimenti c/capitale
EPF,4.03.04.01.011,Trasferimenti c/capitale
FLS,4.03.04.01.011,Trasferimenti c/capitale
MON,4.03.04.01.011,Trasferimenti c/capitale
PRO,4.03.04.01.011,Trasferimenti c/capitale
REG,4.03.04.01.011,Trasferimenti c/capitale
SP1,4.03.04.01.011,Trasferimenti c/capitale
SP3,4.03.04.01.011,Trasferimenti c/capitale
SP8,4.03.04.01.011,Trasferimenti c/capitale
VCE,4.03.04.01.011,Trasferimenti c/capitale
VCF,4.03.04.01.011,Trasferimenti c/capitale
AAI,4.03.04.01.012,Trasferimenti c/capitale
ASP,4.03.04.01.012,Trasferimenti c/capitale
EPF,4.03.04.01.012,Trasferimenti c/capitale
FLS,4.03.04.01.012,Trasferimenti c/capitale
MON,4.03.04.01.012,Trasferimenti c/capitale
PRO,4.03.04.01.012,Trasferimenti c/capitale
REG,4.03.04.01.012,Trasferimenti c/capitale
SP1,4.03.04.01.012,Trasferimenti c/capitale
SP3,4.03.04.01.012,Trasferimenti c/capitale
SP8,4.03.04.01.012,Trasferimenti c/capitale
VCE,4.03.04.01.012,Trasferimenti c/capitale
VCF,4.03.04.01.012,Trasferimenti c/capitale
AAI,4.03.04.01.013,Trasferimenti c/capitale
ASP,4.03.04.01.013,Trasferimenti c/capitale
EPF,4.03.04.01.013,Trasferimenti c/capitale
FLS,4.03.04.01.013,Trasferimenti c/capitale
MON,4.03.04.01.013,Trasferimenti c/capitale
PRO,4.03.04.01.013,Trasferimenti c/capitale
REG,4.03.04.01.013,Trasferimenti c/capitale
SP1,4.03.04.01.013,Trasferimenti c/capitale
SP3,4.03.04.01.013,Trasferimenti c/capitale
SP8,4.03.04.01.013,Trasferimenti c/capitale
VCE,4.03.04.01.013,Trasferimenti c/capitale
VCF,4.03.04.01.013,Trasferimenti c/capitale
AAI,4.03.04.01.999,Trasferimenti c/capitale
ASP,4.03.04.01.999,Trasferimenti c/capitale
EPF,4.03.04.01.999,Trasferimenti c/capitale
FLS,4.03.04.01.999,Trasferimenti c/capitale
MON,4.03.04.01.999,Trasferimenti c/capitale
PRO,4.03.04.01.999,Trasferimenti c/capitale
REG,4.03.04.01.999,Trasferimenti c/capitale
SP1,4.03.04.01.999,Trasferimenti c/capitale
SP3,4.03.04.01.999,Trasferimenti c/capitale
SP8,4.03.04.01.999,Trasferimenti c/capitale
VCE,4.03.04.01.999,Trasferimenti c/capitale
VCF,4.03.04.01.999,Trasferimenti c/capitale
AAI,4.03.04.02.001,Trasferimenti c/capitale
ASP,4.03.04.02.001,Trasferimenti c/capitale
EPF,4.03.04.02.001,Trasferimenti c/capitale
FLS,4.03.04.02.001,Trasferimenti c/capitale
MON,4.03.04.02.001,Trasferimenti c/capitale
PRO,4.03.04.02.001,Trasferimenti c/capitale
REG,4.03.04.02.001,Trasferimenti c/capitale
SP1,4.03.04.02.001,Trasferimenti c/capitale
SP3,4.03.04.02.001,Trasferimenti c/capitale
SP8,4.03.04.02.001,Trasferimenti c/capitale
VCE,4.03.04.02.001,Trasferimenti c/capitale
VCF,4.03.04.02.001,Trasferimenti c/capitale
AAI,4.03.04.02.002,Trasferimenti c/capitale
ASP,4.03.04.02.002,Trasferimenti c/capitale
EPF,4.03.04.02.002,Trasferimenti c/capitale
FLS,4.03.04.02.002,Trasferimenti c/capitale
MON,4.03.04.02.002,Trasferimenti c/capitale
PRO,4.03.04.02.002,Trasferimenti c/capitale
REG,4.03.04.02.002,Trasferimenti c/capitale
SP1,4.03.04.02.002,Trasferimenti c/capitale
SP3,4.03.04.02.002,Trasferimenti c/capitale
SP8,4.03.04.02.002,Trasferimenti c/capitale
VCE,4.03.04.02.002,Trasferimenti c/capitale
VCF,4.03.04.02.002,Trasferimenti c/capitale
AAI,4.03.04.02.003,Trasferimenti c/capitale
ASP,4.03.04.02.003,Trasferimenti c/capitale
EPF,4.03.04.02.003,Trasferimenti c/capitale
FLS,4.03.04.02.003,Trasferimenti c/capitale
MON,4.03.04.02.003,Trasferimenti c/capitale
PRO,4.03.04.02.003,Trasferimenti c/capitale
REG,4.03.04.02.003,Trasferimenti c/capitale
SP1,4.03.04.02.003,Trasferimenti c/capitale
SP3,4.03.04.02.003,Trasferimenti c/capitale
SP8,4.03.04.02.003,Trasferimenti c/capitale
VCE,4.03.04.02.003,Trasferimenti c/capitale
VCF,4.03.04.02.003,Trasferimenti c/capitale
AAI,4.03.04.02.004,Trasferimenti c/capitale
ASP,4.03.04.02.004,Trasferimenti c/capitale
EPF,4.03.04.02.004,Trasferimenti c/capitale
FLS,4.03.04.02.004,Trasferimenti c/capitale
MON,4.03.04.02.004,Trasferimenti c/capitale
PRO,4.03.04.02.004,Trasferimenti c/capitale
REG,4.03.04.02.004,Trasferimenti c/capitale
SP1,4.03.04.02.004,Trasferimenti c/capitale
SP3,4.03.04.02.004,Trasferimenti c/capitale
SP8,4.03.04.02.004,Trasferimenti c/capitale
VCE,4.03.04.02.004,Trasferimenti c/capitale
VCF,4.03.04.02.004,Trasferimenti c/capitale
AAI,4.03.04.02.005,Trasferimenti c/capitale
ASP,4.03.04.02.005,Trasferimenti c/capitale
EPF,4.03.04.02.005,Trasferimenti c/capitale
FLS,4.03.04.02.005,Trasferimenti c/capitale
MON,4.03.04.02.005,Trasferimenti c/capitale
PRO,4.03.04.02.005,Trasferimenti c/capitale
REG,4.03.04.02.005,Trasferimenti c/capitale
SP1,4.03.04.02.005,Trasferimenti c/capitale
SP3,4.03.04.02.005,Trasferimenti c/capitale
SP8,4.03.04.02.005,Trasferimenti c/capitale
VCE,4.03.04.02.005,Trasferimenti c/capitale
VCF,4.03.04.02.005,Trasferimenti c/capitale
AAI,4.03.04.02.006,Trasferimenti c/capitale
ASP,4.03.04.02.006,Trasferimenti c/capitale
EPF,4.03.04.02.006,Trasferimenti c/capitale
FLS,4.03.04.02.006,Trasferimenti c/capitale
MON,4.03.04.02.006,Trasferimenti c/capitale
PRO,4.03.04.02.006,Trasferimenti c/capitale
REG,4.03.04.02.006,Trasferimenti c/capitale
SP1,4.03.04.02.006,Trasferimenti c/capitale
SP3,4.03.04.02.006,Trasferimenti c/capitale
SP8,4.03.04.02.006,Trasferimenti c/capitale
VCE,4.03.04.02.006,Trasferimenti c/capitale
VCF,4.03.04.02.006,Trasferimenti c/capitale
AAI,4.03.04.02.007,Trasferimenti c/capitale
ASP,4.03.04.02.007,Trasferimenti c/capitale
EPF,4.03.04.02.007,Trasferimenti c/capitale
FLS,4.03.04.02.007,Trasferimenti c/capitale
MON,4.03.04.02.007,Trasferimenti c/capitale
PRO,4.03.04.02.007,Trasferimenti c/capitale
REG,4.03.04.02.007,Trasferimenti c/capitale
SP1,4.03.04.02.007,Trasferimenti c/capitale
SP3,4.03.04.02.007,Trasferimenti c/capitale
SP8,4.03.04.02.007,Trasferimenti c/capitale
VCE,4.03.04.02.007,Trasferimenti c/capitale
VCF,4.03.04.02.007,Trasferimenti c/capitale
AAI,4.03.04.02.008,Trasferimenti c/capitale
ASP,4.03.04.02.008,Trasferimenti c/capitale
EPF,4.03.04.02.008,Trasferimenti c/capitale
FLS,4.03.04.02.008,Trasferimenti c/capitale
MON,4.03.04.02.008,Trasferimenti c/capitale
PRO,4.03.04.02.008,Trasferimenti c/capitale
REG,4.03.04.02.008,Trasferimenti c/capitale
SP1,4.03.04.02.008,Trasferimenti c/capitale
SP3,4.03.04.02.008,Trasferimenti c/capitale
SP8,4.03.04.02.008,Trasferimenti c/capitale
VCE,4.03.04.02.008,Trasferimenti c/capitale
VCF,4.03.04.02.008,Trasferimenti c/capitale
AAI,4.03.04.02.009,Trasferimenti c/capitale
ASP,4.03.04.02.009,Trasferimenti c/capitale
EPF,4.03.04.02.009,Trasferimenti c/capitale
FLS,4.03.04.02.009,Trasferimenti c/capitale
MON,4.03.04.02.009,Trasferimenti c/capitale
PRO,4.03.04.02.009,Trasferimenti c/capitale
REG,4.03.04.02.009,Trasferimenti c/capitale
SP1,4.03.04.02.009,Trasferimenti c/capitale
SP3,4.03.04.02.009,Trasferimenti c/capitale
SP8,4.03.04.02.009,Trasferimenti c/capitale
VCE,4.03.04.02.009,Trasferimenti c/capitale
VCF,4.03.04.02.009,Trasferimenti c/capitale
AAI,4.03.04.02.010,Trasferimenti c/capitale
ASP,4.03.04.02.010,Trasferimenti c/capitale
EPF,4.03.04.02.010,Trasferimenti c/capitale
FLS,4.03.04.02.010,Trasferimenti c/capitale
MON,4.03.04.02.010,Trasferimenti c/capitale
PRO,4.03.04.02.010,Trasferimenti c/capitale
REG,4.03.04.02.010,Trasferimenti c/capitale
SP1,4.03.04.02.010,Trasferimenti c/capitale
SP3,4.03.04.02.010,Trasferimenti c/capitale
SP8,4.03.04.02.010,Trasferimenti c/capitale
VCE,4.03.04.02.010,Trasferimenti c/capitale
VCF,4.03.04.02.010,Trasferimenti c/capitale
AAI,4.03.04.02.011,Trasferimenti c/capitale
ASP,4.03.04.02.011,Trasferimenti c/capitale
EPF,4.03.04.02.011,Trasferimenti c/capitale
FLS,4.03.04.02.011,Trasferimenti c/capitale
MON,4.03.04.02.011,Trasferimenti c/capitale
PRO,4.03.04.02.011,Trasferimenti c/capitale
REG,4.03.04.02.011,Trasferimenti c/capitale
SP1,4.03.04.02.011,Trasferimenti c/capitale
SP3,4.03.04.02.011,Trasferimenti c/capitale
SP8,4.03.04.02.011,Trasferimenti c/capitale
VCE,4.03.04.02.011,Trasferimenti c/capitale
VCF,4.03.04.02.011,Trasferimenti c/capitale
AAI,4.03.04.02.012,Trasferimenti c/capitale
ASP,4.03.04.02.012,Trasferimenti c/capitale
EPF,4.03.04.02.012,Trasferimenti c/capitale
FLS,4.03.04.02.012,Trasferimenti c/capitale
MON,4.03.04.02.012,Trasferimenti c/capitale
PRO,4.03.04.02.012,Trasferimenti c/capitale
REG,4.03.04.02.012,Trasferimenti c/capitale
SP1,4.03.04.02.012,Trasferimenti c/capitale
SP3,4.03.04.02.012,Trasferimenti c/capitale
SP8,4.03.04.02.012,Trasferimenti c/capitale
VCE,4.03.04.02.012,Trasferimenti c/capitale
VCF,4.03.04.02.012,Trasferimenti c/capitale
AAI,4.03.04.02.013,Trasferimenti c/capitale
ASP,4.03.04.02.013,Trasferimenti c/capitale
EPF,4.03.04.02.013,Trasferimenti c/capitale
FLS,4.03.04.02.013,Trasferimenti c/capitale
MON,4.03.04.02.013,Trasferimenti c/capitale
PRO,4.03.04.02.013,Trasferimenti c/capitale
REG,4.03.04.02.013,Trasferimenti c/capitale
SP1,4.03.04.02.013,Trasferimenti c/capitale
SP3,4.03.04.02.013,Trasferimenti c/capitale
SP8,4.03.04.02.013,Trasferimenti c/capitale
VCE,4.03.04.02.013,Trasferimenti c/capitale
VCF,4.03.04.02.013,Trasferimenti c/capitale
AAI,4.03.04.02.014,Trasferimenti c/capitale
ASP,4.03.04.02.014,Trasferimenti c/capitale
EPF,4.03.04.02.014,Trasferimenti c/capitale
FLS,4.03.04.02.014,Trasferimenti c/capitale
MON,4.03.04.02.014,Trasferimenti c/capitale
PRO,4.03.04.02.014,Trasferimenti c/capitale
REG,4.03.04.02.014,Trasferimenti c/capitale
SP1,4.03.04.02.014,Trasferimenti c/capitale
SP3,4.03.04.02.014,Trasferimenti c/capitale
SP8,4.03.04.02.014,Trasferimenti c/capitale
VCE,4.03.04.02.014,Trasferimenti c/capitale
VCF,4.03.04.02.014,Trasferimenti c/capitale
AAI,4.03.04.02.015,Trasferimenti c/capitale
ASP,4.03.04.02.015,Trasferimenti c/capitale
EPF,4.03.04.02.015,Trasferimenti c/capitale
FLS,4.03.04.02.015,Trasferimenti c/capitale
MON,4.03.04.02.015,Trasferimenti c/capitale
PRO,4.03.04.02.015,Trasferimenti c/capitale
REG,4.03.04.02.015,Trasferimenti c/capitale
SP1,4.03.04.02.015,Trasferimenti c/capitale
SP3,4.03.04.02.015,Trasferimenti c/capitale
SP8,4.03.04.02.015,Trasferimenti c/capitale
VCE,4.03.04.02.015,Trasferimenti c/capitale
VCF,4.03.04.02.015,Trasferimenti c/capitale
AAI,4.03.04.02.016,Trasferimenti c/capitale
ASP,4.03.04.02.016,Trasferimenti c/capitale
EPF,4.03.04.02.016,Trasferimenti c/capitale
FLS,4.03.04.02.016,Trasferimenti c/capitale
MON,4.03.04.02.016,Trasferimenti c/capitale
PRO,4.03.04.02.016,Trasferimenti c/capitale
REG,4.03.04.02.016,Trasferimenti c/capitale
SP1,4.03.04.02.016,Trasferimenti c/capitale
SP3,4.03.04.02.016,Trasferimenti c/capitale
SP8,4.03.04.02.016,Trasferimenti c/capitale
VCE,4.03.04.02.016,Trasferimenti c/capitale
VCF,4.03.04.02.016,Trasferimenti c/capitale
AAI,4.03.04.02.017,Trasferimenti c/capitale
ASP,4.03.04.02.017,Trasferimenti c/capitale
EPF,4.03.04.02.017,Trasferimenti c/capitale
FLS,4.03.04.02.017,Trasferimenti c/capitale
MON,4.03.04.02.017,Trasferimenti c/capitale
PRO,4.03.04.02.017,Trasferimenti c/capitale
REG,4.03.04.02.017,Trasferimenti c/capitale
SP1,4.03.04.02.017,Trasferimenti c/capitale
SP3,4.03.04.02.017,Trasferimenti c/capitale
SP8,4.03.04.02.017,Trasferimenti c/capitale
VCE,4.03.04.02.017,Trasferimenti c/capitale
VCF,4.03.04.02.017,Trasferimenti c/capitale
AAI,4.03.04.02.018,Trasferimenti c/capitale
ASP,4.03.04.02.018,Trasferimenti c/capitale
EPF,4.03.04.02.018,Trasferimenti c/capitale
FLS,4.03.04.02.018,Trasferimenti c/capitale
MON,4.03.04.02.018,Trasferimenti c/capitale
PRO,4.03.04.02.018,Trasferimenti c/capitale
REG,4.03.04.02.018,Trasferimenti c/capitale
SP1,4.03.04.02.018,Trasferimenti c/capitale
SP3,4.03.04.02.018,Trasferimenti c/capitale
SP8,4.03.04.02.018,Trasferimenti c/capitale
VCE,4.03.04.02.018,Trasferimenti c/capitale
VCF,4.03.04.02.018,Trasferimenti c/capitale
AAI,4.03.04.02.019,Trasferimenti c/capitale
ASP,4.03.04.02.019,Trasferimenti c/capitale
EPF,4.03.04.02.019,Trasferimenti c/capitale
FLS,4.03.04.02.019,Trasferimenti c/capitale
MON,4.03.04.02.019,Trasferimenti c/capitale
PRO,4.03.04.02.019,Trasferimenti c/capitale
REG,4.03.04.02.019,Trasferimenti c/capitale
SP1,4.03.04.02.019,Trasferimenti c/capitale
SP3,4.03.04.02.019,Trasferimenti c/capitale
SP8,4.03.04.02.019,Trasferimenti c/capitale
VCE,4.03.04.02.019,Trasferimenti c/capitale
VCF,4.03.04.02.019,Trasferimenti c/capitale
AAI,4.03.04.02.999,Trasferimenti c/capitale
ASP,4.03.04.02.999,Trasferimenti c/capitale
EPF,4.03.04.02.999,Trasferimenti c/capitale
FLS,4.03.04.02.999,Trasferimenti c/capitale
MON,4.03.04.02.999,Trasferimenti c/capitale
PRO,4.03.04.02.999,Trasferimenti c/capitale
REG,4.03.04.02.999,Trasferimenti c/capitale
SP1,4.03.04.02.999,Trasferimenti c/capitale
SP3,4.03.04.02.999,Trasferimenti c/capitale
SP8,4.03.04.02.999,Trasferimenti c/capitale
VCE,4.03.04.02.999,Trasferimenti c/capitale
VCF,4.03.04.02.999,Trasferimenti c/capitale
AAI,4.03.04.03.001,Trasferimenti c/capitale
ASP,4.03.04.03.001,Trasferimenti c/capitale
EPF,4.03.04.03.001,Trasferimenti c/capitale
FLS,4.03.04.03.001,Trasferimenti c/capitale
MON,4.03.04.03.001,Trasferimenti c/capitale
PRO,4.03.04.03.001,Trasferimenti c/capitale
REG,4.03.04.03.001,Trasferimenti c/capitale
SP1,4.03.04.03.001,Trasferimenti c/capitale
SP3,4.03.04.03.001,Trasferimenti c/capitale
SP8,4.03.04.03.001,Trasferimenti c/capitale
VCE,4.03.04.03.001,Trasferimenti c/capitale
VCF,4.03.04.03.001,Trasferimenti c/capitale
AAI,4.03.04.03.002,Trasferimenti c/capitale
ASP,4.03.04.03.002,Trasferimenti c/capitale
EPF,4.03.04.03.002,Trasferimenti c/capitale
FLS,4.03.04.03.002,Trasferimenti c/capitale
MON,4.03.04.03.002,Trasferimenti c/capitale
PRO,4.03.04.03.002,Trasferimenti c/capitale
REG,4.03.04.03.002,Trasferimenti c/capitale
SP1,4.03.04.03.002,Trasferimenti c/capitale
SP3,4.03.04.03.002,Trasferimenti c/capitale
SP8,4.03.04.03.002,Trasferimenti c/capitale
VCE,4.03.04.03.002,Trasferimenti c/capitale
VCF,4.03.04.03.002,Trasferimenti c/capitale
AAI,4.03.04.03.999,Trasferimenti c/capitale
ASP,4.03.04.03.999,Trasferimenti c/capitale
EPF,4.03.04.03.999,Trasferimenti c/capitale
FLS,4.03.04.03.999,Trasferimenti c/capitale
MON,4.03.04.03.999,Trasferimenti c/capitale
PRO,4.03.04.03.999,Trasferimenti c/capitale
REG,4.03.04.03.999,Trasferimenti c/capitale
SP1,4.03.04.03.999,Trasferimenti c/capitale
SP3,4.03.04.03.999,Trasferimenti c/capitale
SP8,4.03.04.03.999,Trasferimenti c/capitale
VCE,4.03.04.03.999,Trasferimenti c/capitale
VCF,4.03.04.03.999,Trasferimenti c/capitale
AAI,4.03.04.04.001,Trasferimenti c/capitale
ASP,4.03.04.04.001,Trasferimenti c/capitale
EPF,4.03.04.04.001,Trasferimenti c/capitale
FLS,4.03.04.04.001,Trasferimenti c/capitale
MON,4.03.04.04.001,Trasferimenti c/capitale
PRO,4.03.04.04.001,Trasferimenti c/capitale
REG,4.03.04.04.001,Trasferimenti c/capitale
SP1,4.03.04.04.001,Trasferimenti c/capitale
SP3,4.03.04.04.001,Trasferimenti c/capitale
SP8,4.03.04.04.001,Trasferimenti c/capitale
VCE,4.03.04.04.001,Trasferimenti c/capitale
VCF,4.03.04.04.001,Trasferimenti c/capitale
AAI,4.03.05.01.001,Trasferimenti c/capitale
ASP,4.03.05.01.001,Trasferimenti c/capitale
EPF,4.03.05.01.001,Trasferimenti c/capitale
FLS,4.03.05.01.001,Trasferimenti c/capitale
MON,4.03.05.01.001,Trasferimenti c/capitale
PRO,4.03.05.01.001,Trasferimenti c/capitale
REG,4.03.05.01.001,Trasferimenti c/capitale
SP1,4.03.05.01.001,Trasferimenti c/capitale
SP3,4.03.05.01.001,Trasferimenti c/capitale
SP8,4.03.05.01.001,Trasferimenti c/capitale
VCE,4.03.05.01.001,Trasferimenti c/capitale
VCF,4.03.05.01.001,Trasferimenti c/capitale
AAI,4.03.05.02.001,Trasferimenti c/capitale
ASP,4.03.05.02.001,Trasferimenti c/capitale
EPF,4.03.05.02.001,Trasferimenti c/capitale
FLS,4.03.05.02.001,Trasferimenti c/capitale
MON,4.03.05.02.001,Trasferimenti c/capitale
PRO,4.03.05.02.001,Trasferimenti c/capitale
REG,4.03.05.02.001,Trasferimenti c/capitale
SP1,4.03.05.02.001,Trasferimenti c/capitale
SP3,4.03.05.02.001,Trasferimenti c/capitale
SP8,4.03.05.02.001,Trasferimenti c/capitale
VCE,4.03.05.02.001,Trasferimenti c/capitale
VCF,4.03.05.02.001,Trasferimenti c/capitale
AAI,4.03.05.99.999,Trasferimenti c/capitale
ASP,4.03.05.99.999,Trasferimenti c/capitale
EPF,4.03.05.99.999,Trasferimenti c/capitale
FLS,4.03.05.99.999,Trasferimenti c/capitale
MON,4.03.05.99.999,Trasferimenti c/capitale
PRO,4.03.05.99.999,Trasferimenti c/capitale
REG,4.03.05.99.999,Trasferimenti c/capitale
SP1,4.03.05.99.999,Trasferimenti c/capitale
SP3,4.03.05.99.999,Trasferimenti c/capitale
SP8,4.03.05.99.999,Trasferimenti c/capitale
VCE,4.03.05.99.999,Trasferimenti c/capitale
VCF,4.03.05.99.999,Trasferimenti c/capitale
AAI,4.03.06.01.001,Trasferimenti c/capitale
ASP,4.03.06.01.001,Trasferimenti c/capitale
EPF,4.03.06.01.001,Trasferimenti c/capitale
FLS,4.03.06.01.001,Trasferimenti c/capitale
MON,4.03.06.01.001,Trasferimenti c/capitale
PRO,4.03.06.01.001,Trasferimenti c/capitale
REG,4.03.06.01.001,Trasferimenti c/capitale
SP1,4.03.06.01.001,Trasferimenti c/capitale
SP3,4.03.06.01.001,Trasferimenti c/capitale
SP8,4.03.06.01.001,Trasferimenti c/capitale
VCE,4.03.06.01.001,Trasferimenti c/capitale
VCF,4.03.06.01.001,Trasferimenti c/capitale
AAI,4.03.06.02.001,Trasferimenti c/capitale
ASP,4.03.06.02.001,Trasferimenti c/capitale
EPF,4.03.06.02.001,Trasferimenti c/capitale
FLS,4.03.06.02.001,Trasferimenti c/capitale
MON,4.03.06.02.001,Trasferimenti c/capitale
PRO,4.03.06.02.001,Trasferimenti c/capitale
REG,4.03.06.02.001,Trasferimenti c/capitale
SP1,4.03.06.02.001,Trasferimenti c/capitale
SP3,4.03.06.02.001,Trasferimenti c/capitale
SP8,4.03.06.02.001,Trasferimenti c/capitale
VCE,4.03.06.02.001,Trasferimenti c/capitale
VCF,4.03.06.02.001,Trasferimenti c/capitale
AAI,4.03.07.01.001,Trasferimenti c/capitale
ASP,4.03.07.01.001,Trasferimenti c/capitale
EPF,4.03.07.01.001,Trasferimenti c/capitale
FLS,4.03.07.01.001,Trasferimenti c/capitale
MON,4.03.07.01.001,Trasferimenti c/capitale
PRO,4.03.07.01.001,Trasferimenti c/capitale
REG,4.03.07.01.001,Trasferimenti c/capitale
SP1,4.03.07.01.001,Trasferimenti c/capitale
SP3,4.03.07.01.001,Trasferimenti c/capitale
SP8,4.03.07.01.001,Trasferimenti c/capitale
VCE,4.03.07.01.001,Trasferimenti c/capitale
VCF,4.03.07.01.001,Trasferimenti c/capitale
AAI,4.03.07.01.003,Trasferimenti c/capitale
ASP,4.03.07.01.003,Trasferimenti c/capitale
EPF,4.03.07.01.003,Trasferimenti c/capitale
FLS,4.03.07.01.003,Trasferimenti c/capitale
MON,4.03.07.01.003,Trasferimenti c/capitale
PRO,4.03.07.01.003,Trasferimenti c/capitale
REG,4.03.07.01.003,Trasferimenti c/capitale
SP1,4.03.07.01.003,Trasferimenti c/capitale
SP3,4.03.07.01.003,Trasferimenti c/capitale
SP8,4.03.07.01.003,Trasferimenti c/capitale
VCE,4.03.07.01.003,Trasferimenti c/capitale
VCF,4.03.07.01.003,Trasferimenti c/capitale
AAI,4.03.07.01.004,Trasferimenti c/capitale
ASP,4.03.07.01.004,Trasferimenti c/capitale
EPF,4.03.07.01.004,Trasferimenti c/capitale
FLS,4.03.07.01.004,Trasferimenti c/capitale
MON,4.03.07.01.004,Trasferimenti c/capitale
PRO,4.03.07.01.004,Trasferimenti c/capitale
REG,4.03.07.01.004,Trasferimenti c/capitale
SP1,4.03.07.01.004,Trasferimenti c/capitale
SP3,4.03.07.01.004,Trasferimenti c/capitale
SP8,4.03.07.01.004,Trasferimenti c/capitale
VCE,4.03.07.01.004,Trasferimenti c/capitale
VCF,4.03.07.01.004,Trasferimenti c/capitale
AAI,4.03.07.01.005,Trasferimenti c/capitale
ASP,4.03.07.01.005,Trasferimenti c/capitale
EPF,4.03.07.01.005,Trasferimenti c/capitale
FLS,4.03.07.01.005,Trasferimenti c/capitale
MON,4.03.07.01.005,Trasferimenti c/capitale
PRO,4.03.07.01.005,Trasferimenti c/capitale
REG,4.03.07.01.005,Trasferimenti c/capitale
SP1,4.03.07.01.005,Trasferimenti c/capitale
SP3,4.03.07.01.005,Trasferimenti c/capitale
SP8,4.03.07.01.005,Trasferimenti c/capitale
VCE,4.03.07.01.005,Trasferimenti c/capitale
VCF,4.03.07.01.005,Trasferimenti c/capitale
AAI,4.03.07.01.006,Trasferimenti c/capitale
ASP,4.03.07.01.006,Trasferimenti c/capitale
EPF,4.03.07.01.006,Trasferimenti c/capitale
FLS,4.03.07.01.006,Trasferimenti c/capitale
MON,4.03.07.01.006,Trasferimenti c/capitale
PRO,4.03.07.01.006,Trasferimenti c/capitale
REG,4.03.07.01.006,Trasferimenti c/capitale
SP1,4.03.07.01.006,Trasferimenti c/capitale
SP3,4.03.07.01.006,Trasferimenti c/capitale
