codice_gestione,codice_voce,macro_area,macro_categoria
ASP,2.02.04.09.004,Spese in conto capitale,Investimenti fissi
EPF,2.02.04.09.004,Spese in conto capitale,Investimenti fissi
FLS,2.02.04.09.004,Spese in conto capitale,Investimenti fissi
MON,2.02.04.09.004,Spese in conto capitale,Investimenti fissi
PRO,2.02.04.09.004,Spese in conto capitale,Investimenti fissi
REG,2.02.04.09.004,Spese in conto capitale,Investimenti fissi
SP1,2.02.04.09.004,Spese in conto capitale,Investimenti fissi
SP3,2.02.04.09.004,Spese in conto capitale,Investimenti fissi
SP8,2.02.04.09.004,Spese in conto capitale,Investimenti fissi
VCE,2.02.04.09.004,Spese in conto capitale,Investimenti fissi
VCF,2.02.04.09.004,Spese in conto capitale,Investimenti fissi
AAI,2.02.04.09.005,Spese in conto capitale,Investimenti fissi
ASP,2.02.04.09.005,Spese in conto capitale,Investimenti fissi
EPF,2.02.04.09.005,Spese in conto capitale,Investimenti fissi
FLS,2.02.04.09.005,Spese in conto capitale,Investimenti fissi
MON,2.02.04.09.005,Spese in conto capitale,Investimenti fissi
PRO,2.02.04.09.005,Spese in conto capitale,Investimenti fissi
REG,2.02.04.09.005,Spese in conto capitale,Investimenti fissi
SP1,2.02.04.09.005,Spese in conto capitale,Investimenti fissi
SP3,2.02.04.09.005,Spese in conto capitale,Investimenti fissi
SP8,2.02.04.09.005,Spese in conto capitale,Investimenti fissi
VCE,2.02.04.09.005,Spese in conto capitale,Investimenti fissi
VCF,2.02.04.09.005,Spese in conto capitale,Investimenti fissi
AAI,2.02.04.09.006,Spese in conto capitale,Investimenti fissi
ASP,2.02.04.09.006,Spese in conto capitale,Investimenti fissi
EPF,2.02.04.09.006,Spese in conto capitale,Investimenti fissi
FLS,2.02.04.09.006,Spese in conto capitale,Investimenti fissi
MON,2.02.04.09.006,Spese in conto capitale,Investimenti fissi
PRO,2.02.04.09.006,Spese in conto capitale,Investimenti fissi
REG,2.02.04.09.006,Spese in conto capitale,Investimenti fissi
SP1,2.02.04.09.006,Spese in conto capitale,Investimenti fissi
SP3,2.02.04.09.006,Spese in conto capitale,Investimenti fissi
SP8,2.02.04.09.006,Spese in conto capitale,Investimenti fissi
VCE,2.02.04.09.006,Spese in conto capitale,Investimenti fissi
VCF,2.02.04.09.006,Spese in conto capitale,Investimenti fissi
AAI,2.02.04.09.007,Spese in conto capitale,Investimenti fissi
ASP,2.02.04.09.007,Spese in conto capitale,Investimenti fissi
EPF,2.02.04.09.007,Spese in conto capitale,Investimenti fissi
FLS,2.02.04.09.007,Spese in conto capitale,Investimenti fissi
MON,2.02.04.09.007,Spese in conto capitale,Investimenti fissi
PRO,2.02.04.09.007,Spese in conto capitale,Investimenti fissi
REG,2.02.04.09.007,Spese in conto capitale,Investimenti fissi
SP1,2.02.04.09.007,Spese in conto capitale,Investimenti fissi
SP3,2.02.04.09.007,Spese in conto capitale,Investimenti fissi
SP8,2.02.04.09.007,Spese in conto capitale,Investimenti fissi
VCE,2.02.04.09.007,Spese in conto capitale,Investimenti fissi
VCF,2.02.04.09.007,Spese in conto capitale,Investimenti fissi
AAI,2.02.04.09.008,Spese in conto capitale,Investimenti fissi
ASP,2.02.04.09.008,Spese in conto capitale,Investimenti fissi
EPF,2.02.04.09.008,Spese in conto capitale,Investimenti fissi
FLS,2.02.04.09.008,Spese in conto capitale,Investimenti fissi
MON,2.02.04.09.008,Spese in conto capitale,Investimenti fissi
PRO,2.02.04.09.008,Spese in conto capitale,Investimenti fissi
REG,2.02.04.09.008,Spese in conto capitale,Investimenti fissi
SP1,2.02.04.09.008,Spese in conto capitale,Investimenti fissi
SP3,2.02.04.09.008,Spese in conto capitale,Investimenti fissi
SP8,2.02.04.09.008,Spese in conto capitale,Investimenti fissi
VCE,2.02.04.09.008,Spese in conto capitale,Investimenti fissi
VCF,2.02.04.09.008,Spese in conto capitale,Investimenti fissi
AAI,2.02.04.09.009,Spese in conto capitale,Investimenti fissi
ASP,2.02.04.09.009,Spese in conto capitale,Investimenti fissi
EPF,2.02.04.09.009,Spese in conto capitale,Investimenti fissi
FLS,2.02.04.09.009,Spese in conto capitale,Investimenti fissi
MON,2.02.04.09.009,Spese in conto capitale,Investimenti fissi
PRO,2.02.04.09.009,Spese in conto capitale,Investimenti fissi
REG,2.02.04.09.009,Spese in conto capitale,Investimenti fissi
SP1,2.02.04.09.009,Spese in conto capitale,Investimenti fissi
SP3,2.02.04.09.009,Spese in conto capitale,Investimenti fissi
SP8,2.02.04.09.009,Spese in conto capitale,Investimenti fissi
VCE,2.02.04.09.009,Spese in conto capitale,Investimenti fissi
VCF,2.02.04.09.009,Spese in conto capitale,Investimenti fissi
AAI,2.02.04.09.010,Spese in conto capitale,Investimenti fissi
ASP,2.02.04.09.010,Spese in conto capitale,Investimenti fissi
EPF,2.02.04.09.010,Spese in conto capitale,Investimenti fissi
FLS,2.02.04.09.010,Spese in conto capitale,Investimenti fissi
MON,2.02.04.09.010,Spese in conto capitale,Investimenti fissi
PRO,2.02.04.09.010,Spese in conto capitale,Investimenti fissi
REG,2.02.04.09.010,Spese in conto capitale,Investimenti fissi
SP1,2.02.04.09.010,Spese in conto capitale,Investimenti fissi
SP3,2.02.04.09.010,Spese in conto capitale,Investimenti fissi
SP8,2.02.04.09.010,Spese in conto capitale,Investimenti fissi
VCE,2.02.04.09.010,Spese in conto capitale,Investimenti fissi
VCF,2.02.04.09.010,Spese in conto capitale,Investimenti fissi
AAI,2.02.04.09.011,Spese in conto capitale,Investimenti fissi
ASP,2.02.04.09.011,Spese in conto capitale,Investimenti fissi
EPF,2.02.04.09.011,Spese in conto capitale,Investimenti fissi
FLS,2.02.04.09.011,Spese in conto capitale,Investimenti fissi
MON,2.02.04.09.011,Spese in conto capitale,Investimenti fissi
PRO,2.02.04.09.011,Spese in conto capitale,Investimenti fissi
REG,2.02.04.09.011,Spese in conto capitale,Investimenti fissi
SP1,2.02.04.09.011,Spese in conto capitale,Investimenti fissi
SP3,2.02.04.09.011,Spese in conto capitale,Investimenti fissi
SP8,2.02.04.09.011,Spese in conto capitale,Investimenti fissi
VCE,2.02.04.09.011,Spese in conto capitale,Investimenti fissi
VCF,2.02.04.09.011,Spese in conto capitale,Investimenti fissi
AAI,2.02.04.09.012,Spese in conto capitale,Investimenti fissi
ASP,2.02.04.09.012,Spese in conto capitale,Investimenti fissi
EPF,2.02.04.09.012,Spese in conto capitale,Investimenti fissi
FLS,2.02.04.09.012,Spese in conto capitale,Investimenti fissi
MON,2.02.04.09.012,Spese in conto capitale,Investimenti fissi
PRO,2.02.04.09.012,Spese in conto capitale,Investimenti fissi
REG,2.02.04.09.012,Spese in conto capitale,Investimenti fissi
SP1,2.02.04.09.012,Spese in conto capitale,Investimenti fissi
SP3,2.02.04.09.012,Spese in conto capitale,Investimenti fissi
SP8,2.02.04.09.012,Spese in conto capitale,Investimenti fissi
VCE,2.02.04.09.012,Spese in conto capitale,Investimenti fissi
VCF,2.02.04.09.012,Spese in conto capitale,Investimenti fissi
AAI,2.02.04.09.013,Spese in conto capitale,Investimenti fissi
ASP,2.02.04.09.013,Spese in conto capitale,Investimenti fissi
EPF,2.02.04.09.013,Spese in conto capitale,Investimenti fissi
FLS,2.02.04.09.013,Spese in conto capitale,Investimenti fissi
MON,2.02.04.09.013,Spese in conto capitale,Investimenti fissi
PRO,2.02.04.09.013,Spese in conto capitale,Investimenti fissi
REG,2.02.04.09.013,Spese in conto capitale,Investimenti fissi
SP1,2.02.04.09.013,Spese in conto capitale,Investimenti fissi
SP3,2.02.04.09.013,Spese in conto capitale,Investimenti fissi
SP8,2.02.04.09.013,Spese in conto capitale,Investimenti fissi
VCE,2.02.04.09.013,Spese in conto capitale,Investimenti fissi
VCF,2.02.04.09.013,Spese in conto capitale,Investimenti fissi
AAI,2.02.04.09.014,Spese in conto capitale,Investimenti fissi
ASP,2.02.04.09.014,Spese in conto capitale,Investimenti fissi
EPF,2.02.04.09.014,Spese in conto capitale,Investimenti fissi
FLS,2.02.04.09.014,Spese in conto capitale,Investimenti fissi
MON,2.02.04.09.014,Spese in conto capitale,Investimenti fissi
PRO,2.02.04.09.014,Spese in conto capitale,Investimenti fissi
REG,2.02.04.09.014,Spese in conto capitale,Investimenti fissi
RIC,2.02.04.09.014,Spese in conto capitale,Investimenti fissi
SP1,2.02.04.09.014,Spese in conto capitale,Investimenti fissi
SP3,2.02.04.09.014,Spese in conto capitale,Investimenti fissi
SP4,2.02.04.09.014,Spese in conto capitale,Investimenti fissi
SP8,2.02.04.09.014,Spese in conto capitale,Investimenti fissi
VCE,2.02.04.09.014,Spese in conto capitale,Investimenti fissi
VCF,2.02.04.09.014,Spese in conto capitale,Investimenti fissi
EPF,2.02.04.09.998,Spese in conto capitale,Investimenti fissi
MON,2.02.04.09.998,Spese in conto capitale,Investimenti fissi
PRO,2.02.04.09.998,Spese in conto capitale,Investimenti fissi
REG,2.02.04.09.998,Spese in conto capitale,Investimenti fissi
AAI,2.02.04.09.999,Spese in conto capitale,Investimenti fissi
ASP,2.02.04.09.999,Spese in conto capitale,Investimenti fissi
EPF,2.02.04.09.999,Spese in conto capitale,Investimenti fissi
FLS,2.02.04.09.999,Spese in conto capitale,Investimenti fissi
MON,2.02.04.09.999,Spese in conto capitale,Investimenti fissi
PRO,2.02.04.09.999,Spese in conto capitale,Investimenti fissi
REG,2.02.04.09.999,Spese in conto capitale,Investimenti fissi
SP1,2.02.04.09.999,Spese in conto capitale,Investimenti fissi
SP3,2.02.04.09.999,Spese in conto capitale,Investimenti fissi
SP7,2.02.04.09.999,Spese in conto capitale,Investimenti fissi
SP8,2.02.04.09.999,Spese in conto capitale,Investimenti fissi
UNI,2.02.04.09.999,Spese in conto capitale,Investimenti fissi
VCE,2.02.04.09.999,Spese in conto capitale,Investimenti fissi
VCF,2.02.04.09.999,Spese in conto capitale,Investimenti fissi
AAI,2.02.04.10.001,Spese in conto capitale,Investimenti fissi
ASP,2.02.04.10.001,Spese in conto capitale,Investimenti fissi
EPF,2.02.04.10.001,Spese in conto capitale,Investimenti fissi
FLS,2.02.04.10.001,Spese in conto capitale,Investimenti fissi
MON,2.02.04.10.001,Spese in conto capitale,Investimenti fissi
PRO,2.02.04.10.001,Spese in conto capitale,Investimenti fissi
REG,2.02.04.10.001,Spese in conto capitale,Investimenti fissi
RIC,2.02.04.10.001,Spese in conto capitale,Investimenti fissi
SP1,2.02.04.10.001,Spese in conto capitale,Investimenti fissi
SP3,2.02.04.10.001,Spese in conto capitale,Investimenti fissi
SP4,2.02.04.10.001,Spese in conto capitale,Investimenti fissi
SP8,2.02.04.10.001,Spese in conto capitale,Investimenti fissi
VCE,2.02.04.10.001,Spese in conto capitale,Investimenti fissi
VCF,2.02.04.10.001,Spese in conto capitale,Investimenti fissi
AAI,2.02.04.99.001,Spese in conto capitale,Investimenti fissi
ASP,2.02.04.99.001,Spese in conto capitale,Investimenti fissi
EPF,2.02.04.99.001,Spese in conto capitale,Investimenti fissi
FLS,2.02.04.99.001,Spese in conto capitale,Investimenti fissi
MON,2.02.04.99.001,Spese in conto capitale,Investimenti fissi
PRO,2.02.04.99.001,Spese in conto capitale,Investimenti fissi
REG,2.02.04.99.001,Spese in conto capitale,Investimenti fissi
SP1,2.02.04.99.001,Spese in conto capitale,Investimenti fissi
SP3,2.02.04.99.001,Spese in conto capitale,Investimenti fissi
SP8,2.02.04.99.001,Spese in conto capitale,Investimenti fissi
VCE,2.02.04.99.001,Spese in conto capitale,Investimenti fissi
VCF,2.02.04.99.001,Spese in conto capitale,Investimenti fissi
AAI,2.02.04.99.002,Spese in conto capitale,Investimenti fissi
ASP,2.02.04.99.002,Spese in conto capitale,Investimenti fissi
EPF,2.02.04.99.002,Spese in conto capitale,Investimenti fissi
FLS,2.02.04.99.002,Spese in conto capitale,Investimenti fissi
MON,2.02.04.99.002,Spese in conto capitale,Investimenti fissi
PRO,2.02.04.99.002,Spese in conto capitale,Investimenti fissi
REG,2.02.04.99.002,Spese in conto capitale,Investimenti fissi
RIC,2.02.04.99.002,Spese in conto capitale,Investimenti fissi
SP1,2.02.04.99.002,Spese in conto capitale,Investimenti fissi
SP3,2.02.04.99.002,Spese in conto capitale,Investimenti fissi
SP4,2.02.04.99.002,Spese in conto capitale,Investimenti fissi
SP8,2.02.04.99.002,Spese in conto capitale,Investimenti fissi
VCE,2.02.04.99.002,Spese in conto capitale,Investimenti fissi
VCF,2.02.04.99.002,Spese in conto capitale,Investimenti fissi
AAI,2.02.04.99.999,Spese in conto capitale,Investimenti fissi
ASP,2.02.04.99.999,Spese in conto capitale,Investimenti fissi
EPF,2.02.04.99.999,Spese in conto capitale,Investimenti fissi
FLS,2.02.04.99.999,Spese in conto capitale,Investimenti fissi
MON,2.02.04.99.999,Spese in conto capitale,Investimenti fissi
PRO,2.02.04.99.999,Spese in conto capitale,Investimenti fissi
REG,2.02.04.99.999,Spese in conto capitale,Investimenti fissi
SP1,2.02.04.99.999,Spese in conto capitale,Investimenti fissi
SP3,2.02.04.99.999,Spese in conto capitale,Investimenti fissi
SP7,2.02.04.99.999,Spese in conto capitale,Investimenti fissi
SP8,2.02.04.99.999,Spese in conto capitale,Investimenti fissi
UNI,2.02.04.99.999,Spese in conto capitale,Investimenti fissi
VCE,2.02.04.99.999,Spese in conto capitale,Investimenti fissi
VCF,2.02.04.99.999,Spese in conto capitale,Investimenti fissi
AAI,2.02.05.01.001,Spese in conto capitale,Investimenti fissi
ASP,2.02.05.01.001,Spese in conto capitale,Investimenti fissi
EPF,2.02.05.01.001,Spese in conto capitale,Investimenti fissi
FLS,2.02.05.01.001,Spese in conto capitale,Investimenti fissi
MON,2.02.05.01.001,Spese in conto capitale,Investimenti fissi
PRO,2.02.05.01.001,Spese in conto capitale,Investimenti fissi
REG,2.02.05.01.001,Spese in conto capitale,Investimenti fissi
SP1,2.02.05.01.001,Spese in conto capitale,Investimenti fissi
SP3,2.02.05.01.001,Spese in conto capitale,Investimenti fissi
SP8,2.02.05.01.001,Spese in conto capitale,Investimenti fissi
VCE,2.02.05.01.001,Spese in conto capitale,Investimenti fissi
VCF,2.02.05.01.001,Spese in conto capitale,Investimenti fissi
AAI,2.02.05.01.002,Spese in conto capitale,Investimenti fissi
ASP,2.02.05.01.002,Spese in conto capitale,Investimenti fissi
EPF,2.02.05.01.002,Spese in conto capitale,Investimenti fissi
FLS,2.02.05.01.002,Spese in conto capitale,Investimenti fissi
MON,2.02.05.01.002,Spese in conto capitale,Investimenti fissi
PRO,2.02.05.01.002,Spese in conto capitale,Investimenti fissi
REG,2.02.05.01.002,Spese in conto capitale,Investimenti fissi
SP1,2.02.05.01.002,Spese in conto capitale,Investimenti fissi
SP3,2.02.05.01.002,Spese in conto capitale,Investimenti fissi
SP8,2.02.05.01.002,Spese in conto capitale,Investimenti fissi
VCE,2.02.05.01.002,Spese in conto capitale,Investimenti fissi
VCF,2.02.05.01.002,Spese in conto capitale,Investimenti fissi
AAI,2.02.05.01.999,Spese in conto capitale,Investimenti fissi
ASP,2.02.05.01.999,Spese in conto capitale,Investimenti fissi
EPF,2.02.05.01.999,Spese in conto capitale,Investimenti fissi
FLS,2.02.05.01.999,Spese in conto capitale,Investimenti fissi
MON,2.02.05.01.999,Spese in conto capitale,Investimenti fissi
PRO,2.02.05.01.999,Spese in conto capitale,Investimenti fissi
REG,2.02.05.01.999,Spese in conto capitale,Investimenti fissi
RIC,2.02.05.01.999,Spese in conto capitale,Investimenti fissi
SP1,2.02.05.01.999,Spese in conto capitale,Investimenti fissi
SP3,2.02.05.01.999,Spese in conto capitale,Investimenti fissi
SP4,2.02.05.01.999,Spese in conto capitale,Investimenti fissi
SP8,2.02.05.01.999,Spese in conto capitale,Investimenti fissi
VCE,2.02.05.01.999,Spese in conto capitale,Investimenti fissi
VCF,2.02.05.01.999,Spese in conto capitale,Investimenti fissi
AAI,2.02.06.01.001,Spese in conto capitale,Investimenti fissi
ASP,2.02.06.01.001,Spese in conto capitale,Investimenti fissi
EPF,2.02.06.01.001,Spese in conto capitale,Investimenti fissi
FLS,2.02.06.01.001,Spese in conto capitale,Investimenti fissi
MON,2.02.06.01.001,Spese in conto capitale,Investimenti fissi
PRO,2.02.06.01.001,Spese in conto capitale,Investimenti fissi
REG,2.02.06.01.001,Spese in conto capitale,Investimenti fissi
SP1,2.02.06.01.001,Spese in conto capitale,Investimenti fissi
SP3,2.02.06.01.001,Spese in conto capitale,Investimenti fissi
SP8,2.02.06.01.001,Spese in conto capitale,Investimenti fissi
VCE,2.02.06.01.001,Spese in conto capitale,Investimenti fissi
VCF,2.02.06.01.001,Spese in conto capitale,Investimenti fissi
AAI,2.02.06.02.001,Spese in conto capitale,Investimenti fissi
ASP,2.02.06.02.001,Spese in conto capitale,Investimenti fissi
EPF,2.02.06.02.001,Spese in conto capitale,Investimenti fissi
FLS,2.02.06.02.001,Spese in conto capitale,Investimenti fissi
MON,2.02.06.02.001,Spese in conto capitale,Investimenti fissi
PRO,2.02.06.02.001,Spese in conto capitale,Investimenti fissi
REG,2.02.06.02.001,Spese in conto capitale,Investimenti fissi
SP1,2.02.06.02.001,Spese in conto capitale,Investimenti fissi
SP3,2.02.06.02.001,Spese in conto capitale,Investimenti fissi
SP8,2.02.06.02.001,Spese in conto capitale,Investimenti fissi
VCE,2.02.06.02.001,Spese in conto capitale,Investimenti fissi
VCF,2.02.06.02.001,Spese in conto capitale,Investimenti fissi
AAI,2.02.06.03.001,Spese in conto capitale,Investimenti fissi
ASP,2.02.06.03.001,Spese in conto capitale,Investimenti fissi
EPF,2.02.06.03.001,Spese in conto capitale,Investimenti fissi
FLS,2.02.06.03.001,Spese in conto capitale,Investimenti fissi
MON,2.02.06.03.001,Spese in conto capitale,Investimenti fissi
PRO,2.02.06.03.001,Spese in conto capitale,Investimenti fissi
REG,2.02.06.03.001,Spese in conto capitale,Investimenti fissi
SP1,2.02.06.03.001,Spese in conto capitale,Investimenti fissi
SP3,2.02.06.03.001,Spese in conto capitale,Investimenti fissi
SP8,2.02.06.03.001,Spese in conto capitale,Investimenti fissi
VCE,2.02.06.03.001,Spese in conto capitale,Investimenti fissi
VCF,2.02.06.03.001,Spese in conto capitale,Investimenti fissi
AAI,2.02.06.99.999,Spese in conto capitale,Investimenti fissi
ASP,2.02.06.99.999,Spese in conto capitale,Investimenti fissi
EPF,2.02.06.99.999,Spese in conto capitale,Investimenti fissi
FLS,2.02.06.99.999,Spese in conto capitale,Investimenti fissi
MON,2.02.06.99.999,Spese in conto capitale,Investimenti fissi
PRO,2.02.06.99.999,Spese in conto capitale,Investimenti fissi
REG,2.02.06.99.999,Spese in conto capitale,Investimenti fissi
RIC,2.02.06.99.999,Spese in conto capitale,Investimenti fissi
SP1,2.02.06.99.999,Spese in conto capitale,Investimenti fissi
SP3,2.02.06.99.999,Spese in conto capitale,Investimenti fissi
SP4,2.02.06.99.999,Spese in conto capitale,Investimenti fissi
SP8,2.02.06.99.999,Spese in conto capitale,Investimenti fissi
VCE,2.02.06.99.999,Spese in conto capitale,Investimenti fissi
VCF,2.02.06.99.999,Spese in conto capitale,Investimenti fissi
AAI,2.03.01.01.001,Spese in conto capitale,Contributi investimenti
ASP,2.03.01.01.001,Spese in conto capitale,Contributi investimenti
EPF,2.03.01.01.001,Spese in conto capitale,Contributi investimenti
FLS,2.03.01.01.001,Spese in conto capitale,Contributi investimenti
MON,2.03.01.01.001,Spese in conto capitale,Contributi investimenti
PRO,2.03.01.01.001,Spese in conto capitale,Contributi investimenti
REG,2.03.01.01.001,Spese in conto capitale,Contributi investimenti
RIC,2.03.01.01.001,Spese in conto capitale,Contributi investimenti
SP1,2.03.01.01.001,Spese in conto capitale,Contributi investimenti
SP3,2.03.01.01.001,Spese in conto capitale,Contributi investimenti
SP4,2.03.01.01.001,Spese in conto capitale,Contributi investimenti
SP7,2.03.01.01.001,Spese in conto capitale,Contributi investimenti
SP8,2.03.01.01.001,Spese in conto capitale,Contributi investimenti
UNI,2.03.01.01.001,Spese in conto capitale,Contributi investimenti
VCE,2.03.01.01.001,Spese in conto capitale,Contributi investimenti
VCF,2.03.01.01.001,Spese in conto capitale,Contributi investimenti
AAI,2.03.01.01.002,Spese in conto capitale,Contributi investimenti
ASP,2.03.01.01.002,Spese in conto capitale,Contributi investimenti
EPF,2.03.01.01.002,Spese in conto capitale,Contributi investimenti
FLS,2.03.01.01.002,Spese in conto capitale,Contributi investimenti
MON,2.03.01.01.002,Spese in conto capitale,Contributi investimenti
PRO,2.03.01.01.002,Spese in conto capitale,Contributi investimenti
REG,2.03.01.01.002,Spese in conto capitale,Contributi investimenti
SP1,2.03.01.01.002,Spese in conto capitale,Contributi investimenti
SP3,2.03.01.01.002,Spese in conto capitale,Contributi investimenti
SP8,2.03.01.01.002,Spese in conto capitale,Contributi investimenti
VCE,2.03.01.01.002,Spese in conto capitale,Contributi investimenti
VCF,2.03.01.01.002,Spese in conto capitale,Contributi investimenti
AAI,2.03.01.01.003,Spese in conto capitale,Contributi investimenti
ASP,2.03.01.01.003,Spese in conto capitale,Contributi investimenti
EPF,2.03.01.01.003,Spese in conto capitale,Contributi investimenti
FLS,2.03.01.01.003,Spese in conto capitale,Contributi investimenti
MON,2.03.01.01.003,Spese in conto capitale,Contributi investimenti
PRO,2.03.01.01.003,Spese in conto capitale,Contributi investimenti
REG,2.03.01.01.003,Spese in conto capitale,Contributi investimenti
RIC,2.03.01.01.003,Spese in conto capitale,Contributi investimenti
SP1,2.03.01.01.003,Spese in conto capitale,Contributi investimenti
SP3,2.03.01.01.003,Spese in conto capitale,Contributi investimenti
SP4,2.03.01.01.003,Spese in conto capitale,Contributi investimenti
SP7,2.03.01.01.003,Spese in conto capitale,Contributi investimenti
SP8,2.03.01.01.003,Spese in conto capitale,Contributi investimenti
UNI,2.03.01.01.003,Spese in conto capitale,Contributi investimenti
VCE,2.03.01.01.003,Spese in conto capitale,Contributi investimenti
VCF,2.03.01.01.003,Spese in conto capitale,Contributi investimenti
AAI,2.03.01.01.004,Spese in conto capitale,Contributi investimenti
ASP,2.03.01.01.004,Spese in conto capitale,Contributi investimenti
EPF,2.03.01.01.004,Spese in conto capitale,Contributi investimenti
FLS,2.03.01.01.004,Spese in conto capitale,Contributi investimenti
MON,2.03.01.01.004,Spese in conto capitale,Contributi investimenti
PRO,2.03.01.01.004,Spese in conto capitale,Contributi investimenti
REG,2.03.01.01.004,Spese in conto capitale,Contributi investimenti
RIC,2.03.01.01.004,Spese in conto capitale,Contributi investimenti
SP1,2.03.01.01.004,Spese in conto capitale,Contributi investimenti
SP3,2.03.01.01.004,Spese in conto capitale,Contributi investimenti
SP4,2.03.01.01.004,Spese in conto capitale,Contributi investimenti
SP7,2.03.01.01.004,Spese in conto capitale,Contributi investimenti
SP8,2.03.01.01.004,Spese in conto capitale,Contributi investimenti
UNI,2.03.01.01.004,Spese in conto capitale,Contributi investimenti
VCE,2.03.01.01.004,Spese in conto capitale,Contributi investimenti
VCF,2.03.01.01.004,Spese in conto capitale,Contributi investimenti
AAI,2.03.01.01.005,Spese in conto capitale,Contributi investimenti
ASP,2.03.01.01.005,Spese in conto capitale,Contributi investimenti
EPF,2.03.01.01.005,Spese in conto capitale,Contributi investimenti
FLS,2.03.01.01.005,Spese in conto capitale,Contributi investimenti
MON,2.03.01.01.005,Spese in conto capitale,Contributi investimenti
PRO,2.03.01.01.005,Spese in conto capitale,Contributi investimenti
REG,2.03.01.01.005,Spese in conto capitale,Contributi investimenti
RIC,2.03.01.01.005,Spese in conto capitale,Contributi investimenti
SP1,2.03.01.01.005,Spese in conto capitale,Contributi investimenti
SP3,2.03.01.01.005,Spese in conto capitale,Contributi investimenti
SP4,2.03.01.01.005,Spese in conto capitale,Contributi investimenti
SP7,2.03.01.01.005,Spese in conto capitale,Contributi investimenti
SP8,2.03.01.01.005,Spese in conto capitale,Contributi investimenti
UNI,2.03.01.01.005,Spese in conto capitale,Contributi investimenti
VCE,2.03.01.01.005,Spese in conto capitale,Contributi investimenti
VCF,2.03.01.01.005,Spese in conto capitale,Contributi investimenti
AAI,2.03.01.01.006,Spese in conto capitale,Contributi investimenti
ASP,2.03.01.01.006,Spese in conto capitale,Contributi investimenti
EPF,2.03.01.01.006,Spese in conto capitale,Contributi investimenti
FLS,2.03.01.01.006,Spese in conto capitale,Contributi investimenti
MON,2.03.01.01.006,Spese in conto capitale,Contributi investimenti
PRO,2.03.01.01.006,Spese in conto capitale,Contributi investimenti
REG,2.03.01.01.006,Spese in conto capitale,Contributi investimenti
RIC,2.03.01.01.006,Spese in conto capitale,Contributi investimenti
SP1,2.03.01.01.006,Spese in conto capitale,Contributi investimenti
SP3,2.03.01.01.006,Spese in conto capitale,Contributi investimenti
SP4,2.03.01.01.006,Spese in conto capitale,Contributi investimenti
SP7,2.03.01.01.006,Spese in conto capitale,Contributi investimenti
SP8,2.03.01.01.006,Spese in conto capitale,Contributi investimenti
UNI,2.03.01.01.006,Spese in conto capitale,Contributi investimenti
VCE,2.03.01.01.006,Spese in conto capitale,Contributi investimenti
VCF,2.03.01.01.006,Spese in conto capitale,Contributi investimenti
AAI,2.03.01.01.007,Spese in conto capitale,Contributi investimenti
ASP,2.03.01.01.007,Spese in conto capitale,Contributi investimenti
EPF,2.03.01.01.007,Spese in conto capitale,Contributi investimenti
FLS,2.03.01.01.007,Spese in conto capitale,Contributi investimenti
MON,2.03.01.01.007,Spese in conto capitale,Contributi investimenti
PRO,2.03.01.01.007,Spese in conto capitale,Contributi investimenti
REG,2.03.01.01.007,Spese in conto capitale,Contributi investimenti
RIC,2.03.01.01.007,Spese in conto capitale,Contributi investimenti
SP1,2.03.01.01.007,Spese in conto capitale,Contributi investimenti
SP3,2.03.01.01.007,Spese in conto capitale,Contributi investimenti
SP4,2.03.01.01.007,Spese in conto capitale,Contributi investimenti
SP7,2.03.01.01.007,Spese in conto capitale,Contributi investimenti
SP8,2.03.01.01.007,Spese in conto capitale,Contributi investimenti
UNI,2.03.01.01.007,Spese in conto capitale,Contributi investimenti
VCE,2.03.01.01.007,Spese in conto capitale,Contributi investimenti
VCF,2.03.01.01.007,Spese in conto capitale,Contributi investimenti
AAI,2.03.01.01.008,Spese in conto capitale,Contributi investimenti
ASP,2.03.01.01.008,Spese in conto capitale,Contributi investimenti
EPF,2.03.01.01.008,Spese in conto capitale,Contributi investimenti
FLS,2.03.01.01.008,Spese in conto capitale,Contributi investimenti
MON,2.03.01.01.008,Spese in conto capitale,Contributi investimenti
PRO,2.03.01.01.008,Spese in conto capitale,Contributi investimenti
REG,2.03.01.01.008,Spese in conto capitale,Contributi investimenti
RIC,2.03.01.01.008,Spese in conto capitale,Contributi investimenti
SP1,2.03.01.01.008,Spese in conto capitale,Contributi investimenti
SP3,2.03.01.01.008,Spese in conto capitale,Contributi investimenti
SP4,2.03.01.01.008,Spese in conto capitale,Contributi investimenti
SP7,2.03.01.01.008,Spese in conto capitale,Contributi investimenti
SP8,2.03.01.01.008,Spese in conto capitale,Contributi investimenti
UNI,2.03.01.01.008,Spese in conto capitale,Contributi investimenti
VCE,2.03.01.01.008,Spese in conto capitale,Contributi investimenti
VCF,2.03.01.01.008,Spese in conto capitale,Contributi investimenti
AAI,2.03.01.01.009,Spese in conto capitale,Contributi investimenti
ASP,2.03.01.01.009,Spese in conto capitale,Contributi investimenti
EPF,2.03.01.01.009,Spese in conto capitale,Contributi investimenti
FLS,2.03.01.01.009,Spese in conto capitale,Contributi investimenti
MON,2.03.01.01.009,Spese in conto capitale,Contributi investimenti
PRO,2.03.01.01.009,Spese in conto capitale,Contributi investimenti
REG,2.03.01.01.009,Spese in conto capitale,Contributi investimenti
RIC,2.03.01.01.009,Spese in conto capitale,Contributi investimenti
