codice_gestione,codice_voce,macro_area,macro_categoria
SP1,1.01.01.01.009,Spese correnti,Personale
SP3,1.01.01.01.009,Spese correnti,Personale
SP4,1.01.01.01.009,Spese correnti,Personale
SP7,1.01.01.01.009,Spese correnti,Personale
SP8,1.01.01.01.009,Spese correnti,Personale
UNI,1.01.01.01.009,Spese correnti,Personale
VCF,1.01.01.01.009,Spese correnti,Personale
AAI,1.01.01.01.010,Spese correnti,Personale
ASP,1.01.01.01.010,Spese correnti,Personale
RIC,1.01.01.01.010,Spese correnti,Personale
SP4,1.01.01.01.010,Spese correnti,Personale
VCF,1.01.01.01.010,Spese correnti,Personale
AAI,1.01.01.01.011,Spese correnti,Personale
ASP,1.01.01.01.011,Spese correnti,Personale
VCF,1.01.01.01.011,Spese correnti,Personale
FLS,1.01.01.01.994,Spese correnti,Personale
VCE,1.01.01.01.994,Spese correnti,Personale
FLS,1.01.01.01.995,Spese correnti,Personale
VCE,1.01.01.01.995,Spese correnti,Personale
FLS,1.01.01.01.996,Spese correnti,Personale
VCE,1.01.01.01.996,Spese correnti,Personale
FLS,1.01.01.01.997,Spese correnti,Personale
VCE,1.01.01.01.997,Spese correnti,Personale
FLS,1.01.01.01.998,Spese correnti,Personale
VCE,1.01.01.01.998,Spese correnti,Personale
AAI,1.01.01.02.001,Spese correnti,Personale
ASP,1.01.01.02.001,Spese correnti,Personale
EPF,1.01.01.02.001,Spese correnti,Personale
FLS,1.01.01.02.001,Spese correnti,Personale
MON,1.01.01.02.001,Spese correnti,Personale
PRO,1.01.01.02.001,Spese correnti,Personale
REG,1.01.01.02.001,Spese correnti,Personale
RIC,1.01.01.02.001,Spese correnti,Personale
SP1,1.01.01.02.001,Spese correnti,Personale
SP3,1.01.01.02.001,Spese correnti,Personale
SP4,1.01.01.02.001,Spese correnti,Personale
SP7,1.01.01.02.001,Spese correnti,Personale
SP8,1.01.01.02.001,Spese correnti,Personale
UNI,1.01.01.02.001,Spese correnti,Personale
VCE,1.01.01.02.001,Spese correnti,Personale
VCF,1.01.01.02.001,Spese correnti,Personale
AAI,1.01.01.02.002,Spese correnti,Personale
ASP,1.01.01.02.002,Spese correnti,Personale
EPF,1.01.01.02.002,Spese correnti,Personale
FLS,1.01.01.02.002,Spese correnti,Personale
MON,1.01.01.02.002,Spese correnti,Personale
PRO,1.01.01.02.002,Spese correnti,Personale
REG,1.01.01.02.002,Spese correnti,Personale
RIC,1.01.01.02.002,Spese correnti,Personale
SP1,1.01.01.02.002,Spese correnti,Personale
SP3,1.01.01.02.002,Spese correnti,Personale
SP4,1.01.01.02.002,Spese correnti,Personale
SP7,1.01.01.02.002,Spese correnti,Personale
SP8,1.01.01.02.002,Spese correnti,Personale
UNI,1.01.01.02.002,Spese correnti,Personale
VCE,1.01.01.02.002,Spese correnti,Personale
VCF,1.01.01.02.002,Spese correnti,Personale
AAI,1.01.01.02.999,Spese correnti,Personale
ASP,1.01.01.02.999,Spese correnti,Personale
EPF,1.01.01.02.999,Spese correnti,Personale
FLS,1.01.01.02.999,Spese correnti,Personale
MON,1.01.01.02.999,Spese correnti,Personale
PRO,1.01.01.02.999,Spese correnti,Personale
REG,1.01.01.02.999,Spese correnti,Personale
RIC,1.01.01.02.999,Spese correnti,Personale
SP1,1.01.01.02.999,Spese correnti,Personale
SP3,1.01.01.02.999,Spese correnti,Personale
SP4,1.01.01.02.999,Spese correnti,Personale
SP7,1.01.01.02.999,Spese correnti,Personale
SP8,1.01.01.02.999,Spese correnti,Personale
UNI,1.01.01.02.999,Spese correnti,Personale
VCE,1.01.01.02.999,Spese correnti,Personale
VCF,1.01.01.02.999,Spese correnti,Personale
AAI,1.01.02.01.001,Spese correnti,Personale
ASP,1.01.02.01.001,Spese correnti,Personale
EPF,1.01.02.01.001,Spese correnti,Personale
FLS,1.01.02.01.001,Spese correnti,Personale
MON,1.01.02.01.001,Spese correnti,Personale
PRO,1.01.02.01.001,Spese correnti,Personale
REG,1.01.02.01.001,Spese correnti,Personale
RIC,1.01.02.01.001,Spese correnti,Personale
SP1,1.01.02.01.001,Spese correnti,Personale
SP3,1.01.02.01.001,Spese correnti,Personale
SP4,1.01.02.01.001,Spese correnti,Personale
SP7,1.01.02.01.001,Spese correnti,Personale
SP8,1.01.02.01.001,Spese correnti,Personale
UNI,1.01.02.01.001,Spese correnti,Personale
VCE,1.01.02.01.001,Spese correnti,Personale
VCF,1.01.02.01.001,Spese correnti,Personale
AAI,1.01.02.01.002,Spese correnti,Personale
ASP,1.01.02.01.002,Spese correnti,Personale
EPF,1.01.02.01.002,Spese correnti,Personale
FLS,1.01.02.01.002,Spese correnti,Personale
MON,1.01.02.01.002,Spese correnti,Personale
PRO,1.01.02.01.002,Spese correnti,Personale
REG,1.01.02.01.002,Spese correnti,Personale
RIC,1.01.02.01.002,Spese correnti,Personale
SP1,1.01.02.01.002,Spese correnti,Personale
SP3,1.01.02.01.002,Spese correnti,Personale
SP4,1.01.02.01.002,Spese correnti,Personale
SP7,1.01.02.01.002,Spese correnti,Personale
SP8,1.01.02.01.002,Spese correnti,Personale
UNI,1.01.02.01.002,Spese correnti,Personale
VCE,1.01.02.01.002,Spese correnti,Personale
VCF,1.01.02.01.002,Spese correnti,Personale
AAI,1.01.02.01.003,Spese correnti,Personale
ASP,1.01.02.01.003,Spese correnti,Personale
EPF,1.01.02.01.003,Spese correnti,Personale
FLS,1.01.02.01.003,Spese correnti,Personale
MON,1.01.02.01.003,Spese correnti,Personale
PRO,1.01.02.01.003,Spese correnti,Personale
REG,1.01.02.01.003,Spese correnti,Personale
RIC,1.01.02.01.003,Spese correnti,Personale
SP1,1.01.02.01.003,Spese correnti,Personale
SP3,1.01.02.01.003,Spese correnti,Personale
SP4,1.01.02.01.003,Spese correnti,Personale
SP7,1.01.02.01.003,Spese correnti,Personale
SP8,1.01.02.01.003,Spese correnti,Personale
UNI,1.01.02.01.003,Spese correnti,Personale
VCE,1.01.02.01.003,Spese correnti,Personale
VCF,1.01.02.01.003,Spese correnti,Personale
AAI,1.01.02.01.999,Spese correnti,Personale
ASP,1.01.02.01.999,Spese correnti,Personale
EPF,1.01.02.01.999,Spese correnti,Personale
FLS,1.01.02.01.999,Spese correnti,Personale
MON,1.01.02.01.999,Spese correnti,Personale
PRO,1.01.02.01.999,Spese correnti,Personale
REG,1.01.02.01.999,Spese correnti,Personale
RIC,1.01.02.01.999,Spese correnti,Personale
SP1,1.01.02.01.999,Spese correnti,Personale
SP3,1.01.02.01.999,Spese correnti,Personale
SP4,1.01.02.01.999,Spese correnti,Personale
SP7,1.01.02.01.999,Spese correnti,Personale
SP8,1.01.02.01.999,Spese correnti,Personale
UNI,1.01.02.01.999,Spese correnti,Personale
VCE,1.01.02.01.999,Spese correnti,Personale
VCF,1.01.02.01.999,Spese correnti,Personale
AAI,1.01.02.02.001,Spese correnti,Personale
ASP,1.01.02.02.001,Spese correnti,Personale
EPF,1.01.02.02.001,Spese correnti,Personale
FLS,1.01.02.02.001,Spese correnti,Personale
MON,1.01.02.02.001,Spese correnti,Personale
PRO,1.01.02.02.001,Spese correnti,Personale
REG,1.01.02.02.001,Spese correnti,Personale
RIC,1.01.02.02.001,Spese correnti,Personale
SP1,1.01.02.02.001,Spese correnti,Personale
SP3,1.01.02.02.001,Spese correnti,Personale
SP4,1.01.02.02.001,Spese correnti,Personale
SP7,1.01.02.02.001,Spese correnti,Personale
SP8,1.01.02.02.001,Spese correnti,Personale
UNI,1.01.02.02.001,Spese correnti,Personale
VCE,1.01.02.02.001,Spese correnti,Personale
VCF,1.01.02.02.001,Spese correnti,Personale
AAI,1.01.02.02.002,Spese correnti,Personale
ASP,1.01.02.02.002,Spese correnti,Personale
EPF,1.01.02.02.002,Spese correnti,Personale
FLS,1.01.02.02.002,Spese correnti,Personale
MON,1.01.02.02.002,Spese correnti,Personale
PRO,1.01.02.02.002,Spese correnti,Personale
REG,1.01.02.02.002,Spese correnti,Personale
RIC,1.01.02.02.002,Spese correnti,Personale
SP1,1.01.02.02.002,Spese correnti,Personale
SP3,1.01.02.02.002,Spese correnti,Personale
SP4,1.01.02.02.002,Spese correnti,Personale
SP7,1.01.02.02.002,Spese correnti,Personale
SP8,1.01.02.02.002,Spese correnti,Personale
UNI,1.01.02.02.002,Spese correnti,Personale
VCE,1.01.02.02.002,Spese correnti,Personale
VCF,1.01.02.02.002,Spese correnti,Personale
ASP,1.01.02.02.003,Spese correnti,Personale
EPF,1.01.02.02.003,Spese correnti,Personale
MON,1.01.02.02.003,Spese correnti,Personale
PRO,1.01.02.02.003,Spese correnti,Personale
REG,1.01.02.02.003,Spese correnti,Personale
RIC,1.01.02.02.003,Spese correnti,Personale
SP1,1.01.02.02.003,Spese correnti,Personale
SP3,1.01.02.02.003,Spese correnti,Personale
SP4,1.01.02.02.003,Spese correnti,Personale
SP7,1.01.02.02.003,Spese correnti,Personale
SP8,1.01.02.02.003,Spese correnti,Personale
UNI,1.01.02.02.003,Spese correnti,Personale
AAI,1.01.02.02.004,Spese correnti,Personale
ASP,1.01.02.02.004,Spese correnti,Personale
EPF,1.01.02.02.004,Spese correnti,Personale
MON,1.01.02.02.004,Spese correnti,Personale
PRO,1.01.02.02.004,Spese correnti,Personale
REG,1.01.02.02.004,Spese correnti,Personale
SP1,1.01.02.02.004,Spese correnti,Personale
SP3,1.01.02.02.004,Spese correnti,Personale
SP8,1.01.02.02.004,Spese correnti,Personale
VCF,1.01.02.02.004,Spese correnti,Personale
AAI,1.01.02.02.005,Spese correnti,Personale
ASP,1.01.02.02.005,Spese correnti,Personale
